id,exam_score
630000,72.86801
630001,70.15177
630002,87.41365
630003,55.51418
630004,48.571297
630005,72.17263
630006,72.25065
630007,59.877243
630008,77.690765
630009,89.92365
630010,57.045765
630011,37.53393
630012,53.864952
630013,61.08907
630014,64.082405
630015,64.76015
630016,73.14686
630017,77.79262
630018,63.854546
630019,74.95918
630020,54.162376
630021,68.31085
630022,45.512547
630023,48.869816
630024,53.594448
630025,54.201572
630026,59.369392
630027,42.59336
630028,79.628006
630029,97.81955
630030,92.44278
630031,54.284
630032,79.93614
630033,56.223717
630034,44.922634
630035,51.563942
630036,50.630005
630037,66.6711
630038,30.80744
630039,44.126793
630040,33.78264
630041,75.63897
630042,61.286312
630043,64.82858
630044,57.79957
630045,83.460075
630046,86.67093
630047,57.171616
630048,80.1131
630049,97.792816
630050,72.16633
630051,28.505167
630052,83.03174
630053,73.67621
630054,65.74018
630055,39.483406
630056,43.083458
630057,74.70178
630058,38.90691
630059,76.64488
630060,62.293823
630061,30.934086
630062,44.02313
630063,35.30219
630064,66.86855
630065,46.53322
630066,70.89591
630067,45.859066
630068,87.00195
630069,90.40581
630070,76.059906
630071,63.635555
630072,71.18359
630073,73.71086
630074,72.21446
630075,75.8502
630076,91.61841
630077,37.287712
630078,70.03473
630079,48.233944
630080,92.52486
630081,84.157906
630082,34.531525
630083,48.332054
630084,75.63848
630085,93.31546
630086,69.51313
630087,70.338455
630088,75.84985
630089,79.79595
630090,78.07134
630091,75.288536
630092,62.522118
630093,48.066956
630094,48.637238
630095,74.58091
630096,70.29743
630097,67.897705
630098,80.83833
630099,82.47796
630100,74.06535
630101,31.329914
630102,37.438896
630103,59.212753
630104,70.057495
630105,36.51197
630106,47.422665
630107,67.10528
630108,34.388874
630109,94.41984
630110,53.20318
630111,82.37153
630112,87.02119
630113,75.45244
630114,68.00425
630115,54.237488
630116,58.422558
630117,75.80817
630118,59.306324
630119,83.50889
630120,45.421085
630121,58.711548
630122,38.844078
630123,46.95668
630124,79.57877
630125,65.0845
630126,34.103123
630127,52.67134
630128,66.40327
630129,87.096275
630130,45.81235
630131,60.537918
630132,51.719913
630133,73.79757
630134,45.664104
630135,94.17661
630136,56.927555
630137,34.225967
630138,74.322815
630139,50.740433
630140,34.21133
630141,47.852253
630142,37.43373
630143,49.648388
630144,71.85543
630145,73.22757
630146,65.61303
630147,73.03578
630148,42.21038
630149,76.69599
630150,54.608765
630151,68.974785
630152,62.199863
630153,44.23571
630154,62.236393
630155,26.634586
630156,70.72285
630157,48.590145
630158,75.10366
630159,57.10524
630160,62.263958
630161,77.85021
630162,55.44111
630163,65.10703
630164,36.727364
630165,71.45505
630166,63.823215
630167,59.5103
630168,72.678955
630169,86.56089
630170,56.697792
630171,59.699455
630172,47.36426
630173,71.76796
630174,44.801365
630175,93.61639
630176,91.70062
630177,65.00894
630178,80.965576
630179,22.597548
630180,54.1721
630181,46.087105
630182,56.501205
630183,62.91627
630184,36.79022
630185,71.17471
630186,91.20383
630187,55.870354
630188,70.67304
630189,70.28487
630190,41.3373
630191,64.68965
630192,86.87781
630193,92.56705
630194,38.770634
630195,62.77557
630196,72.48234
630197,34.82386
630198,87.437935
630199,88.879074
630200,51.253727
630201,55.168518
630202,55.66887
630203,37.722355
630204,53.647285
630205,72.461586
