id,exam_score
630000,69.23799999999994
630001,71.431
630002,85.43799999999997
630003,53.72299999999999
630004,47.672
630005,72.707
630006,70.24100000000003
630007,59.82599999999998
630008,78.311
630009,92.737
630010,55.520999999999965
630011,41.827999999999996
630012,55.30600000000002
630013,62.27300000000002
630014,62.022
630015,71.02299999999995
630016,71.41700000000007
630017,72.19599999999997
630018,63.84900000000002
630019,76.091
630020,58.075
630021,67.29799999999999
630022,48.482
630023,46.23699999999998
630024,53.475999999999985
630025,53.29999999999999
630026,63.14799999999998
630027,38.906000000000006
630028,80.676
630029,96.75
630030,93.75700000000005
630031,51.34399999999999
630032,77.737
630033,56.08700000000001
630034,44.21799999999999
630035,55.20999999999997
630036,49.152000000000015
630037,69.76799999999999
630038,29.615730000000013
630039,49.58300000000001
630040,34.75690000000001
630041,68.79399999999998
630042,61.757000000000026
630043,65.94399999999995
630044,58.188999999999986
630045,84.75200000000004
630046,88.96599999999997
630047,50.13500000000001
630048,82.07399999999998
630049,97.50500000000002
630050,67.25599999999999
630051,29.52593
630052,83.62300000000003
630053,76.69900000000001
630054,58.621999999999986
630055,37.186990000000016
630056,37.295
630057,76.14199999999998
630058,40.070000000000014
630059,77.96299999999995
630060,58.01499999999999
630061,32.33895999999999
630062,41.778989999999986
630063,36.24193999999999
630064,67.81699999999998
630065,45.71700000000001
630066,73.61299999999999
630067,44.931000000000004
630068,85.66299999999995
630069,93.33000000000001
630070,75.79799999999999
630071,61.70299999999995
630072,69.82099999999997
630073,75.175
630074,70.09499999999997
630075,77.131
630076,91.93799999999999
630077,36.569959999999966
630078,71.11599999999997
630079,48.99500000000001
630080,88.92399999999996
630081,84.65899999999999
630082,40.032989999999984
630083,49.334
630084,78.379
630085,91.35400000000001
630086,70.568
630087,70.73599999999998
630088,73.17300000000003
630089,83.48000000000002
630090,73.36300000000004
630091,76.87400000000005
630092,61.98400000000003
630093,49.94200000000001
630094,48.65600000000001
630095,79.04899999999998
630096,66.333
630097,67.60000000000005
630098,80.06200000000001
630099,93.20299999999999
630100,75.56700000000002
630101,31.02194
630102,36.289989999999996
630103,58.085999999999984
630104,71.51299999999999
630105,36.34499000000003
630106,50.285999999999994
630107,68.20499999999998
630108,36.12496000000003
630109,97.127
630110,54.117
630111,75.93099999999998
630112,82.61300000000001
630113,74.75000000000003
630114,70.117
630115,55.312999999999995
630116,61.810999999999986
630117,74.31499999999997
630118,57.527000000000015
630119,83.37100000000008
630120,43.12996999999999
630121,56.07199999999998
630122,40.56299999999999
630123,43.38599999999999
630124,79.58099999999997
630125,65.33300000000004
630126,30.430979999999998
630127,56.81300000000001
630128,63.119
630129,81.24100000000003
630130,46.313999999999986
630131,60.77399999999997
630132,52.16700000000004
630133,77.84799999999997
630134,43.18200000000001
630135,96.764
630136,58.872000000000035
630137,36.071
630138,72.45300000000003
630139,57.61299999999999
630140,35.155870000000014
630141,43.40699999999999
630142,41.21300000000002
630143,47.35200000000003
630144,76.68699999999998
630145,75.21499999999997
630146,64.80699999999996
630147,74.66499999999998
630148,40.442
630149,73.871
630150,51.18
630151,68.16200000000002
630152,63.102000000000025
630153,42.108999999999995
630154,60.447000000000024
630155,30.236850000000025
630156,71.44799999999998
630157,49.70699999999998
630158,75.304
630159,59.773999999999944
630160,61.539000000000044
630161,77.13100000000004
